KommentarID;Kommentar
1;E-Mail geschrieben, Brief zurück
2;gekündigt zum 31.07.2025
3;gekündigt zum 31.05.2025
4;gestrichen zum 03.06.25
5;nur noch formales Mitglied
6;bezahlt noch, aber keine Kontakt Dauerauftragten
7;Brief zurück, Telefon tot, Zahlung zuletzt 2023
8;bisher keine Kontakt Dauerauftragten hinterlegt
9;gekündigt zum 31.12.25
10;gestorben am 26.02.2025
11;bezahlt noch, aber keine Kontakt Dauerauftragten
12;Verstorben 2024
13;gekündigt zum 30.06.2025
14;E-Mail geschrieben, Brief zurück
15;Brief zurück, E-Mail aus, Telefon klingelt
16;bezahlt noch, aber keine Kontakt Dauerauftragten
17;gekündigt zum 30.04.2025
18;gekündigt zum 30.04.2025
19;unbekannt verzogen, aber bezahlt noch
20;unbekannt verzogen, aber bezahlt noch
21;bezahlt noch, aber keine Kontakt Dauerauftragten
28;mehr als 70 € gehe nicht
22;gekündigt zum 30.04.2025
23;E-Mail geschrieben, Brief zurück
24;bezahlt noch, aber keine Kontakt Dauerauftragten
25;
26;bezahlt noch, aber keine Kontakt Dauerauftragten
27;bezahlt noch, aber keine Kontakt Dauerauftragten